channel,t_stat,p_value,seizure_mean,normal_mean,effect_size
103,1.6055466250919703,0.10837516438263486,46.95427013087917,41.226136264826984,0.30693476231547706
8,1.5805647699962224,0.11397919244118264,26.981435363357132,23.1706430496704,0.29326362238200293
57,1.5204096885184462,0.12840964646417155,37.002570667782344,31.749317502944464,0.2468420090900178
29,1.5100793765299863,0.13102477563159262,43.2243486352869,34.28247201696159,0.31518599224295896
88,1.4949752096571816,0.13492251444841408,35.15333925711142,40.62329662457059,0.2776550286496798
73,1.4434742895137236,0.14888850072078716,41.614538270073965,47.93765697023757,0.2618476445006687
17,1.4203194559173797,0.1555162826528201,40.07149057130556,35.5633566064423,0.2399574384246263
66,1.2896797756539093,0.19716337897706745,44.58517615859573,39.990847534192106,0.20848694728933861
43,1.2771007709259472,0.2015681784780477,35.14273988878405,31.238382172620618,0.21772292380272665
21,1.2282549882019442,0.21935273024129692,35.12602223576726,30.600339368074877,0.24034717440123982
37,1.1123063805445932,0.2660077992582699,43.81636918557657,31.20687043540785,0.253931965832543
59,1.0996667615702085,0.271478686220548,33.2723635596198,30.50157680883414,0.20598742430923953
3,1.0751739207336224,0.28229818638282866,34.1959621841843,40.5531692728124,0.2237611790651752
27,1.0466574660281072,0.2952588721819446,42.393818314011035,38.280730962135735,0.16039156635334906
36,0.9489713701751371,0.342636337956297,41.212278830038535,36.49944785613447,0.1651583513012018
82,0.9117446789864232,0.36190425435525664,48.6206591838115,42.658043862164135,0.18927170426891107
9,0.8446596574212291,0.39830191619739164,32.28807276648444,29.930605612325515,0.1466068517665599
41,0.8377781036115691,0.4021563553411799,34.24113938615129,31.983825387843986,0.11171824253349451
67,0.7126038141443386,0.47609179520302225,46.3689330332988,43.44596666070456,0.12765087939192418
19,0.6610250304947494,0.5085970348437352,41.234244037318874,38.58154331901924,0.10326160574727875
48,0.646470711958432,0.5179753121237101,32.97669975177662,34.682743759336034,0.09320658159864088
4,0.645252476083023,0.5187643363234539,33.31797218322754,36.55694359707256,0.12198709746710858
81,0.600557389281032,0.5481355171135295,46.08294115839778,43.60181639918533,0.10066003278996072
32,0.5210312078241115,0.6023456173352091,35.75202202152561,33.473603785595614,0.09115412091859211
2,0.3927375498257981,0.6945137588551045,41.00627303767849,39.00192593085292,0.08308577382267673
12,0.36055195228470577,0.7184347996761808,41.98733749905148,40.31883992735113,0.06932469067193534
34,0.33230122774541637,0.7396621665999477,37.35960385606096,39.15684029618551,0.06346139127389128
24,0.3143491301240019,0.7532562204937082,33.17664167043325,34.09412834076334,0.052483174258274964
11,0.3018571680421792,0.7627612672232191,40.50823642112113,41.65717772000309,0.04935429606337024
58,0.26997916369336944,0.7871765664437507,35.392831596168314,36.410168557169136,0.04859865559357707
35,0.2517974462266275,0.8011978941088936,39.811252026944544,41.12093895058555,0.04978005671753243
68,0.02038190412499217,0.9837387399183218,39.5706283466236,39.65099275212051,0.0038103255323336848
10,0.006725243547137199,0.9946340792675069,40.088879095541465,40.061171246343626,0.0011550702209953433
